epoch,time,generator_loss,discriminator_loss
1,2022_08_17_08_10_17,2.3125,-0.0525
2,2022_08_17_08_10_19,1.6488,-0.2322
3,2022_08_17_08_10_22,-6.3723,-0.6787
4,2022_08_17_08_10_24,-4.8791,-1.1687
5,2022_08_17_08_10_26,7.8583,-2.4333
6,2022_08_17_08_10_28,4.7424,-3.7414
7,2022_08_17_08_10_29,3.9328,-5.3805
8,2022_08_17_08_10_31,22.0808,-7.1749
9,2022_08_17_08_10_33,11.0213,-7.8318
10,2022_08_17_08_10_35,-11.0986,-7.8279
11,2022_08_17_08_10_37,-10.2701,-7.6278
12,2022_08_17_08_10_39,-0.2578,-6.2941
13,2022_08_17_08_10_41,3.0864,-5.6743
14,2022_08_17_08_10_43,0.3952,-5.8577
15,2022_08_17_08_10_45,2.5460,-4.4864
16,2022_08_17_08_10_47,-14.9509,-4.6160
17,2022_08_17_08_10_49,-16.4432,-5.0910
18,2022_08_17_08_10_51,9.7899,-4.0748
19,2022_08_17_08_10_53,19.4981,-3.8038
20,2022_08_17_08_10_55,69.8362,-3.1970
21,2022_08_17_08_10_58,9.4399,-3.3474
22,2022_08_17_08_11_00,6.5820,-3.5334
23,2022_08_17_08_11_03,5.7682,-2.1548
24,2022_08_17_08_11_07,5.6518,-2.2122
25,2022_08_17_08_11_12,7.7931,-1.8719
26,2022_08_17_08_11_14,14.9744,-2.9626
27,2022_08_17_08_11_16,21.0616,-1.9062
28,2022_08_17_08_11_18,29.4167,-1.7117
29,2022_08_17_08_11_20,2.4153,-1.5318
30,2022_08_17_08_11_22,-2.0442,-1.6173
31,2022_08_17_08_11_24,9.1790,-1.0904
32,2022_08_17_08_11_26,17.2132,-1.3234
33,2022_08_17_08_11_28,10.3334,-1.0985
34,2022_08_17_08_11_31,40.9906,-0.5114
35,2022_08_17_08_11_33,3.4718,-0.0593
36,2022_08_17_08_11_35,4.3880,-0.8875
37,2022_08_17_08_11_37,3.7825,0.2837
38,2022_08_17_08_11_39,15.7216,-0.8711
39,2022_08_17_08_11_41,26.4488,0.7076
40,2022_08_17_08_11_43,10.4972,-0.4719
41,2022_08_17_08_11_45,7.8143,0.4909
42,2022_08_17_08_11_47,6.1249,-0.6509
43,2022_08_17_08_11_49,13.8619,-0.6883
44,2022_08_17_08_11_51,-5.4292,-0.3149
45,2022_08_17_08_11_53,16.4772,-0.0792
46,2022_08_17_08_11_55,0.3138,0.1899
47,2022_08_17_08_11_57,2.3033,-0.7879
48,2022_08_17_08_11_59,4.8911,0.8130
49,2022_08_17_08_12_01,4.9439,-0.4133
50,2022_08_17_08_12_03,-3.6195,-0.1530
51,2022_08_17_08_12_05,-2.3636,-0.2027
52,2022_08_17_08_12_08,-1.9843,-0.1439
53,2022_08_17_08_12_11,4.2421,-0.1876
54,2022_08_17_08_12_13,6.5620,-0.8633
55,2022_08_17_08_12_15,-6697.8394,-0.5707
56,2022_08_17_08_12_17,7.9976,0.3814
57,2022_08_17_08_12_19,7.0427,1.3116
58,2022_08_17_08_12_22,-13.3227,0.7703
59,2022_08_17_08_12_24,26.7095,0.1290
60,2022_08_17_08_12_26,27.9303,1.2625
61,2022_08_17_08_12_28,90.7566,-0.1202
62,2022_08_17_08_12_31,-6.4832,0.6330
63,2022_08_17_08_12_33,9.3537,0.5697
64,2022_08_17_08_12_35,-0.5759,0.1008
65,2022_08_17_08_12_37,1.1713,-0.4026
66,2022_08_17_08_12_39,2.5641,1.0496
67,2022_08_17_08_12_41,1.9686,0.7354
68,2022_08_17_08_12_43,3.3840,0.5154
69,2022_08_17_08_12_45,4.2146,0.3220
70,2022_08_17_08_12_47,4.8776,-0.4767
71,2022_08_17_08_12_50,5.2458,-0.3971
72,2022_08_17_08_12_53,48.9065,-0.0314
73,2022_08_17_08_12_55,10.8296,0.5747
74,2022_08_17_08_12_57,-22.1516,0.8457
75,2022_08_17_08_12_59,7.0217,0.4007
76,2022_08_17_08_13_01,7.3142,-0.6438
77,2022_08_17_08_13_03,9.9707,0.8884
78,2022_08_17_08_13_05,11.0984,0.9306
79,2022_08_17_08_13_07,17.3279,-0.5823
80,2022_08_17_08_13_09,-16.8928,0.8490
81,2022_08_17_08_13_11,19.7487,0.1241
82,2022_08_17_08_13_13,8.4383,0.4634
83,2022_08_17_08_13_15,15.3304,-0.3151
84,2022_08_17_08_13_17,-2.5960,0.6145
85,2022_08_17_08_13_19,15.5164,0.3441
86,2022_08_17_08_13_21,15.8989,0.6342
87,2022_08_17_08_13_23,17.3052,0.7630
88,2022_08_17_08_13_25,11.6368,-0.3114
89,2022_08_17_08_13_27,12.0219,0.1001
90,2022_08_17_08_13_30,13.0390,-0.1311
91,2022_08_17_08_13_32,13.4830,0.8846
92,2022_08_17_08_13_34,14.1785,0.8119
93,2022_08_17_08_13_36,12.9830,-0.2914
94,2022_08_17_08_13_38,13.4803,0.1966
95,2022_08_17_08_13_40,13.5780,-0.7061
96,2022_08_17_08_13_42,14.4542,-0.5682
97,2022_08_17_08_13_44,13.4390,0.3742
98,2022_08_17_08_13_47,13.2739,0.8688
99,2022_08_17_08_13_49,14.0086,-0.6126
100,2022_08_17_08_13_51,13.5410,0.3220
101,2022_08_17_08_13_53,13.5894,0.5513
102,2022_08_17_08_13_55,14.6086,-0.3741
103,2022_08_17_08_13_57,16.3770,-0.5255
104,2022_08_17_08_13_59,14.0744,0.6071
105,2022_08_17_08_14_01,35.6019,0.6414
106,2022_08_17_08_14_04,13.9164,0.4777
107,2022_08_17_08_14_06,8.6554,0.3723
108,2022_08_17_08_14_08,-7.3660,0.3292
109,2022_08_17_08_14_10,1.9148,0.0353
110,2022_08_17_08_14_12,-15.4547,0.0661
111,2022_08_17_08_14_14,34.5730,0.0627
112,2022_08_17_08_14_16,-26.6223,0.0498
113,2022_08_17_08_14_18,6.4849,-0.9271
114,2022_08_17_08_14_20,9.0820,0.0888
115,2022_08_17_08_14_23,7.4992,0.5703
116,2022_08_17_08_14_25,443.7869,0.2539
117,2022_08_17_08_14_27,27.2906,-0.4104
118,2022_08_17_08_14_29,0.1751,0.1764
119,2022_08_17_08_14_33,4.5652,0.3702
120,2022_08_17_08_14_35,-20.9562,0.2494
121,2022_08_17_08_14_37,4.6998,-0.1787
122,2022_08_17_08_14_40,4.6937,0.1350
123,2022_08_17_08_14_42,6.8318,0.3894
124,2022_08_17_08_14_44,7.0354,-0.6707
125,2022_08_17_08_14_46,6.7282,0.7735
126,2022_08_17_08_14_48,7.5382,-0.6923
127,2022_08_17_08_14_50,6.4035,0.1082
128,2022_08_17_08_14_52,3.9740,0.0888
129,2022_08_17_08_14_54,5.1396,0.0596
130,2022_08_17_08_14_56,-11.3748,-1.2205
131,2022_08_17_08_14_58,-22.2726,0.0534
132,2022_08_17_08_15_00,26.2309,0.8508
133,2022_08_17_08_15_02,23.9525,0.4651
134,2022_08_17_08_15_04,13.7051,-0.5051
135,2022_08_17_08_15_07,14.6735,-0.5906
136,2022_08_17_08_15_10,157.6165,-0.3136
137,2022_08_17_08_15_12,4.2778,-0.8766
138,2022_08_17_08_15_14,10.1934,-0.5561
139,2022_08_17_08_15_16,10.1331,-0.7450
140,2022_08_17_08_15_18,10.7869,0.4576
141,2022_08_17_08_15_20,12.3505,0.3433
142,2022_08_17_08_15_22,5.6002,0.0044
143,2022_08_17_08_15_24,17.9216,-0.3212
144,2022_08_17_08_15_26,11.4637,-0.6154
145,2022_08_17_08_15_28,15.4993,0.6088
146,2022_08_17_08_15_30,18.6760,0.3455
147,2022_08_17_08_15_32,-110.1354,-0.6837
148,2022_08_17_08_15_34,7.8760,0.2486
149,2022_08_17_08_15_36,0.7839,-0.7803
150,2022_08_17_08_15_38,15.4078,0.4463
151,2022_08_17_08_15_40,7.1953,-0.1228
152,2022_08_17_08_15_42,8.6742,-0.7165
153,2022_08_17_08_15_44,6.8757,-0.7331
154,2022_08_17_08_15_46,6.6783,0.2842
155,2022_08_17_08_15_49,6.2328,-0.2240
156,2022_08_17_08_15_51,9.8613,-0.0993
157,2022_08_17_08_15_53,8.9098,-0.2419
158,2022_08_17_08_15_56,2.8491,-0.6127
159,2022_08_17_08_15_58,5.4303,0.3776
160,2022_08_17_08_16_00,4.7110,-0.8328
161,2022_08_17_08_16_02,2.6395,0.3827
162,2022_08_17_08_16_05,19.8086,0.4789
163,2022_08_17_08_16_07,6.4920,-0.6518
164,2022_08_17_08_16_09,14.9342,-0.6825
165,2022_08_17_08_16_11,20.8964,-0.8865
166,2022_08_17_08_16_13,6.8585,0.9180
167,2022_08_17_08_16_15,5.3195,-1.5870
168,2022_08_17_08_16_18,3.9148,0.1169
169,2022_08_17_08_16_20,4.1218,-0.0515
170,2022_08_17_08_16_25,8.5209,-0.8998
171,2022_08_17_08_16_26,8.7776,0.3891
172,2022_08_17_08_16_28,7.6775,0.5880
173,2022_08_17_08_16_30,6.4079,-0.4877
174,2022_08_17_08_16_32,6.3812,-0.5682
175,2022_08_17_08_16_34,7.2179,1.3309
176,2022_08_17_08_16_35,17.7640,-0.5524
177,2022_08_17_08_16_37,-144.2854,-0.2163
178,2022_08_17_08_16_39,10.8190,-0.3436
179,2022_08_17_08_16_41,-11.3053,0.2463
180,2022_08_17_08_16_43,-10.2822,0.2105
181,2022_08_17_08_16_44,8.5438,-0.1072
182,2022_08_17_08_16_47,6.3736,0.5022
183,2022_08_17_08_16_49,8.4178,-0.9427
184,2022_08_17_08_16_51,3.7300,0.8421
185,2022_08_17_08_16_53,9.0577,0.1461
186,2022_08_17_08_16_55,-87.6678,-0.1758
187,2022_08_17_08_16_57,15.8792,-0.4926
188,2022_08_17_08_16_59,10.2377,-0.4259
189,2022_08_17_08_17_01,9.8276,0.2643
190,2022_08_17_08_17_03,10.2930,-0.2780
191,2022_08_17_08_17_05,8.5559,0.8014
192,2022_08_17_08_17_07,7.5306,0.9365
193,2022_08_17_08_17_10,6.8215,0.4113
194,2022_08_17_08_17_11,8.3332,-0.2021
195,2022_08_17_08_17_13,6.0501,-0.7690
196,2022_08_17_08_17_18,13.2965,0.6156
197,2022_08_17_08_17_19,34.8844,-0.2521
198,2022_08_17_08_17_21,-14.1304,-0.0245
199,2022_08_17_08_17_23,4.4905,-0.6174
200,2022_08_17_08_17_25,7.8484,0.0754
201,2022_08_17_08_17_27,6.4472,1.4464
202,2022_08_17_08_17_28,-1.9457,-2.0068
203,2022_08_17_08_17_30,23.7752,0.8569
204,2022_08_17_08_17_32,20.7099,0.2964
205,2022_08_17_08_17_33,76.1056,-0.9667
206,2022_08_17_08_17_48,-18.8283,-1.4758
207,2022_08_17_08_17_50,-8.7373,1.9660
208,2022_08_17_08_17_52,-30.0042,1.2012
209,2022_08_17_08_17_54,12.1417,-0.6392
210,2022_08_17_08_17_56,-4.3647,0.0549
211,2022_08_17_08_17_58,7.9274,-0.0572
212,2022_08_17_08_17_59,11.4691,-0.3870
213,2022_08_17_08_18_01,-207.3464,1.3774
214,2022_08_17_08_18_03,4.0186,0.1500
215,2022_08_17_08_18_06,5.6258,0.2371
216,2022_08_17_08_18_08,8.5720,-0.2230
217,2022_08_17_08_18_10,9.5125,-0.9796
218,2022_08_17_08_18_12,12.1195,0.8488
219,2022_08_17_08_18_14,59.1624,-0.2501
220,2022_08_17_08_18_16,159.2247,-0.1358
221,2022_08_17_08_18_18,38.0994,1.7323
222,2022_08_17_08_18_20,320.1259,-0.4487
223,2022_08_17_08_18_22,4.0064,-0.0408
224,2022_08_17_08_18_24,13.2746,0.5675
225,2022_08_17_08_18_27,12.7461,0.0998
226,2022_08_17_08_18_29,11.5543,-0.5585
227,2022_08_17_08_18_31,9.9999,0.1460
