epoch,time,generator_loss,discriminator_loss
1,2022_08_18_07_39_32,-0.1473,-0.0534
2,2022_08_18_07_39_34,-29.6992,-0.2556
3,2022_08_18_07_39_36,9.7308,-0.6383
4,2022_08_18_07_39_39,-1.5861,-1.1865
5,2022_08_18_07_39_41,6.8875,-2.1483
6,2022_08_18_07_39_43,40.9433,-3.0018
7,2022_08_18_07_39_46,10.5290,-3.7582
8,2022_08_18_07_39_48,9.3904,-3.6640
9,2022_08_18_07_39_50,5.1341,-5.0335
10,2022_08_18_07_39_53,6.8791,-4.4934
11,2022_08_18_07_39_55,11.7844,-3.5886
12,2022_08_18_07_39_57,10.4817,-3.8656
13,2022_08_18_07_39_59,10.2691,-2.9132
14,2022_08_18_07_40_02,9.4259,-0.9111
15,2022_08_18_07_40_04,10.2715,-1.3577
16,2022_08_18_07_40_07,29.3726,-1.4660
17,2022_08_18_07_40_09,7.1827,-1.3465
18,2022_08_18_07_40_12,8.2871,0.1287
19,2022_08_18_07_40_14,7.8204,-0.6908
20,2022_08_18_07_40_18,4.5722,-0.7616
21,2022_08_18_07_40_20,13.8769,0.3967
22,2022_08_18_07_40_23,-9.4597,-0.4420
23,2022_08_18_07_40_25,2.9127,0.0190
24,2022_08_18_07_40_27,3.3456,0.3429
25,2022_08_18_07_40_29,11.4996,0.0667
26,2022_08_18_07_40_32,8.9419,0.2055
27,2022_08_18_07_40_34,1.6143,-0.0115
28,2022_08_18_07_40_36,2.4325,0.4822
29,2022_08_18_07_40_39,8.4442,0.2250
30,2022_08_18_07_40_41,8.8547,-0.6703
31,2022_08_18_07_40_44,-30.0241,0.2586
32,2022_08_18_07_40_46,12.8955,-0.0952
33,2022_08_18_07_40_48,13.6997,0.6482
34,2022_08_18_07_40_50,9.7866,0.8963
35,2022_08_18_07_40_53,15.9792,0.4815
36,2022_08_18_07_40_55,18.9222,0.6423
37,2022_08_18_07_40_57,17.7323,-0.3061
38,2022_08_18_07_40_59,14.1392,-0.3722
39,2022_08_18_07_41_02,24.1661,2.4026
40,2022_08_18_07_41_05,32.9145,0.7755
41,2022_08_18_07_41_08,23.6293,1.3182
42,2022_08_18_07_41_11,9.8092,1.2538
43,2022_08_18_07_41_13,21.6555,1.3005
44,2022_08_18_07_41_15,29.2242,-0.1543
45,2022_08_18_07_41_18,18.4364,0.7293
46,2022_08_18_07_41_21,-230.0264,1.0452
47,2022_08_18_07_41_23,21.3836,-0.5407
48,2022_08_18_07_41_25,-156.4031,0.4174
49,2022_08_18_07_41_29,26.7335,-0.3098
50,2022_08_18_07_41_31,30.0554,0.7202
51,2022_08_18_07_41_33,23.8476,0.7197
52,2022_08_18_07_41_36,25.2424,-1.1923
53,2022_08_18_07_41_38,25.4385,1.4313
54,2022_08_18_07_41_40,25.5332,0.6133
55,2022_08_18_07_41_42,24.5147,-0.3559
56,2022_08_18_07_41_45,26.3856,0.9399
57,2022_08_18_07_41_47,26.3359,0.2276
58,2022_08_18_07_41_49,24.4746,-2.0051
59,2022_08_18_07_41_52,25.1255,-0.5460
60,2022_08_18_07_41_54,25.5914,0.2003
61,2022_08_18_07_41_56,29.7733,-2.1058
62,2022_08_18_07_41_59,31.3823,1.5380
63,2022_08_18_07_42_01,38.7140,-0.1170
64,2022_08_18_07_42_03,36.6942,1.0274
65,2022_08_18_07_42_08,17.1983,0.2148
66,2022_08_18_07_42_11,20.1639,-0.7294
67,2022_08_18_07_42_13,-118.1944,0.3376
68,2022_08_18_07_42_15,33.7013,1.3393
69,2022_08_18_07_42_17,28.7063,-0.9663
70,2022_08_18_07_42_20,27.2322,-0.3409
71,2022_08_18_07_42_22,218.9569,-0.6847
72,2022_08_18_07_42_24,35.3654,-0.0854
73,2022_08_18_07_42_27,37.4429,1.4676
74,2022_08_18_07_42_29,21.6586,0.4929
75,2022_08_18_07_42_31,27.6985,0.9918
76,2022_08_18_07_42_33,25.0360,-1.1622
77,2022_08_18_07_42_36,25.3952,-0.1902
78,2022_08_18_07_42_38,24.3842,0.1974
79,2022_08_18_07_42_40,24.7086,-0.0338
80,2022_08_18_07_42_43,22.7707,0.2034
81,2022_08_18_07_42_46,112.7773,-1.0130
82,2022_08_18_07_42_49,26.1133,0.1965
83,2022_08_18_07_42_51,31.6937,0.1762
84,2022_08_18_07_42_53,26.7318,0.5942
85,2022_08_18_07_42_56,28.2540,-0.2397
86,2022_08_18_07_42_58,64.5650,-1.0116
87,2022_08_18_07_43_00,16.9181,0.0557
88,2022_08_18_07_43_02,21.8824,-0.7879
89,2022_08_18_07_43_04,21.8970,0.2744
90,2022_08_18_07_43_06,23.1574,0.3152
91,2022_08_18_07_43_08,23.1141,-1.1667
92,2022_08_18_07_43_10,18.5700,0.1226
93,2022_08_18_07_43_12,15.8228,-0.6497
94,2022_08_18_07_43_14,17.8448,0.7587
95,2022_08_18_07_43_17,18.2179,-0.0009
96,2022_08_18_07_43_19,21.7399,-0.9151
97,2022_08_18_07_43_21,19.9926,-1.1784
98,2022_08_18_07_43_23,11.2840,0.1730
99,2022_08_18_07_43_25,106.1601,0.1735
100,2022_08_18_07_43_27,12.4485,0.8703
101,2022_08_18_07_43_29,27.0840,0.0780
102,2022_08_18_07_43_31,29.2070,-0.6274
103,2022_08_18_07_43_33,22.4954,-0.2750
104,2022_08_18_07_43_35,27.8782,-0.2816
105,2022_08_18_07_43_38,19.2463,-0.4424
106,2022_08_18_07_43_41,20.8198,0.4641
107,2022_08_18_07_43_43,23.4947,0.0641
108,2022_08_18_07_43_46,20.2373,0.3923
109,2022_08_18_07_43_48,20.5311,0.0589
110,2022_08_18_07_43_50,10.9784,1.0402
111,2022_08_18_07_43_53,20.7124,-0.4114
112,2022_08_18_07_43_55,21.8870,1.5334
113,2022_08_18_07_43_57,23.3673,0.1218
114,2022_08_18_07_44_00,23.5955,-0.5721
115,2022_08_18_07_44_02,14.4871,0.4073
116,2022_08_18_07_44_04,24.6488,1.3630
117,2022_08_18_07_44_07,23.3571,0.3106
118,2022_08_18_07_44_09,30.3720,1.3179
119,2022_08_18_07_44_11,23.3495,-0.0932
120,2022_08_18_07_44_13,21.2317,0.4717
121,2022_08_18_07_44_16,22.4270,0.9340
122,2022_08_18_07_44_18,21.8921,0.8403
123,2022_08_18_07_44_21,129.1910,-1.7075
124,2022_08_18_07_44_23,25.4714,0.2250
125,2022_08_18_07_44_25,24.4797,-1.3996
126,2022_08_18_07_44_27,23.3679,1.2196
127,2022_08_18_07_44_29,24.5074,0.2795
128,2022_08_18_07_44_32,27.4605,-0.2969
129,2022_08_18_07_44_35,22.9353,1.0227
130,2022_08_18_07_44_37,24.9990,0.4945
131,2022_08_18_07_44_39,13.3162,-1.1188
132,2022_08_18_07_44_42,20.5030,1.6086
133,2022_08_18_07_44_44,18.8191,1.3805
134,2022_08_18_07_44_47,18.4205,-0.2101
135,2022_08_18_07_44_49,21.6745,0.3145
136,2022_08_18_07_44_52,18.7839,0.7074
137,2022_08_18_07_44_54,16.7904,-1.2752
138,2022_08_18_07_44_57,7.4284,-0.6874
139,2022_08_18_07_44_59,23.4024,0.2666
140,2022_08_18_07_45_01,22.2312,-1.1077
141,2022_08_18_07_45_03,23.3331,-0.1591
142,2022_08_18_07_45_05,20.8619,0.3031
143,2022_08_18_07_45_07,23.5204,0.6635
144,2022_08_18_07_45_11,21.7681,-0.0010
145,2022_08_18_07_45_13,22.3705,0.5703
146,2022_08_18_07_45_16,22.9949,0.9116
147,2022_08_18_07_45_20,21.3790,-0.7806
148,2022_08_18_07_45_22,22.0844,-0.6318
149,2022_08_18_07_45_25,21.7498,-0.7046
150,2022_08_18_07_45_27,22.0167,0.3829
151,2022_08_18_07_45_29,19.9332,0.1222
152,2022_08_18_07_45_31,21.5959,-0.0174
153,2022_08_18_07_45_34,21.8590,0.3182
154,2022_08_18_07_45_36,21.8055,-0.1292
155,2022_08_18_07_45_38,21.6020,-0.3560
156,2022_08_18_07_45_41,-8.3946,0.3389
157,2022_08_18_07_45_43,16.5885,-0.5319
158,2022_08_18_07_45_46,15.8851,-0.8727
159,2022_08_18_07_45_49,16.0934,-0.5452
160,2022_08_18_07_45_51,17.1359,-1.0755
161,2022_08_18_07_45_53,19.6629,-1.0671
162,2022_08_18_07_45_55,33.6466,-0.1385
163,2022_08_18_07_45_58,19.8829,-1.4254
164,2022_08_18_07_46_00,31.2623,-0.4984
165,2022_08_18_07_46_02,13.8476,-0.3869
166,2022_08_18_07_46_05,17.6275,-1.0649
167,2022_08_18_07_46_07,26.0915,-1.9513
168,2022_08_18_07_46_09,45.4240,0.1718
169,2022_08_18_07_46_11,29.2304,1.8375
170,2022_08_18_07_46_13,25.5719,0.6265
