epoch,time,generator_loss,discriminator_loss
1,2022_08_16_09_52_25,10.1347,-0.0729
2,2022_08_16_09_52_27,4.8442,-0.2384
3,2022_08_16_09_52_29,12.5281,-0.8277
4,2022_08_16_09_52_31,-12.3714,-1.3995
5,2022_08_16_09_52_33,6.9882,-2.3502
6,2022_08_16_09_52_35,11.1705,-3.3353
7,2022_08_16_09_52_37,-8.0491,-3.9626
8,2022_08_16_09_52_41,8.4623,-4.5476
9,2022_08_16_09_52_43,-0.6920,-4.3571
10,2022_08_16_09_52_46,4.1360,-3.4528
11,2022_08_16_09_52_48,-35.5078,-2.8974
12,2022_08_16_09_52_50,4.8055,-2.4404
13,2022_08_16_09_52_52,6.1982,-2.4094
14,2022_08_16_09_52_55,6.9733,-2.9083
15,2022_08_16_09_52_57,5.1001,-1.0584
16,2022_08_16_09_53_00,10.5502,-1.0248
17,2022_08_16_09_53_02,2.9119,-0.3800
18,2022_08_16_09_53_04,-49.6243,-0.6330
19,2022_08_16_09_53_06,7.8093,-0.5929
20,2022_08_16_09_53_08,14.8830,0.0333
21,2022_08_16_09_53_10,6.9132,-0.3031
22,2022_08_16_09_53_12,6.0452,-0.5841
23,2022_08_16_09_53_14,43.0077,0.3315
24,2022_08_16_09_53_16,5.7933,-0.7034
25,2022_08_16_09_53_19,18.8028,-0.8747
26,2022_08_16_09_53_23,-3.2227,0.3353
27,2022_08_16_09_53_25,1.2625,0.7258
28,2022_08_16_09_53_27,13.5329,0.2118
29,2022_08_16_09_53_29,9.0749,1.0429
30,2022_08_16_09_53_31,6.2185,0.1975
31,2022_08_16_09_53_33,-0.0642,0.0660
32,2022_08_16_09_53_35,4.5513,-0.1522
33,2022_08_16_09_53_37,3.5190,-0.1522
34,2022_08_16_09_53_39,4.0407,0.2331
35,2022_08_16_09_53_42,4.7278,0.1604
36,2022_08_16_09_53_44,6.0365,0.1621
37,2022_08_16_09_53_46,7.5171,0.6831
38,2022_08_16_09_53_49,2.6577,-0.1844
39,2022_08_16_09_53_51,3.0242,0.2410
40,2022_08_16_09_53_53,14.2064,-0.3705
41,2022_08_16_09_53_55,6.0255,0.0028
42,2022_08_16_09_53_57,13.3352,-0.3459
43,2022_08_16_09_53_59,25.2707,0.1164
44,2022_08_16_09_54_01,11.6465,1.0337
45,2022_08_16_09_54_03,-10.5830,0.1636
46,2022_08_16_09_54_06,14.1038,0.9966
47,2022_08_16_09_54_08,12.9291,-0.2427
48,2022_08_16_09_54_10,12.6063,-0.5761
49,2022_08_16_09_54_12,-53.7748,0.3711
50,2022_08_16_09_54_15,14.4256,1.2738
51,2022_08_16_09_54_17,11.6391,0.8259
52,2022_08_16_09_54_19,15.5661,0.9154
