epoch,time,generator_loss,discriminator_loss
1,2022_08_22_09_18_24,0.5919,-0.1001
2,2022_08_22_09_18_27,0.5381,-0.3698
3,2022_08_22_09_18_28,0.9053,-0.9145
4,2022_08_22_09_18_30,1.3892,-2.0356
5,2022_08_22_09_18_32,2.0172,-3.4242
6,2022_08_22_09_18_33,2.6210,-5.3642
7,2022_08_22_09_18_35,3.3122,-7.0008
8,2022_08_22_09_18_37,3.7229,-8.1287
9,2022_08_22_09_18_38,2.7234,-7.8221
10,2022_08_22_09_18_40,2.0566,-7.2404
11,2022_08_22_09_18_42,0.7146,-6.8354
12,2022_08_22_09_18_43,-1246.9471,-5.8022
13,2022_08_22_09_18_45,2.7463,-6.4885
14,2022_08_22_09_18_47,1.0937,-5.8040
15,2022_08_22_09_18_48,0.1745,-6.0515
16,2022_08_22_09_18_50,-1.1726,-5.1477
17,2022_08_22_09_18_52,-0.6704,-4.2373
18,2022_08_22_09_18_54,-2.2272,-3.0868
19,2022_08_22_09_18_55,-2.3868,-3.0191
20,2022_08_22_09_18_57,-2.3081,-2.5041
21,2022_08_22_09_18_59,-2.6882,-1.1974
22,2022_08_22_09_19_00,-2.8774,-2.0994
23,2022_08_22_09_19_02,-3.1940,-2.4683
24,2022_08_22_09_19_04,-3.5107,-1.9130
25,2022_08_22_09_19_05,-4.0176,-1.5975
26,2022_08_22_09_19_07,-3.0589,-1.1594
27,2022_08_22_09_19_09,-3.2838,-1.2842
28,2022_08_22_09_19_11,-2.8878,-0.8314
29,2022_08_22_09_19_12,-2.2860,-0.7952
30,2022_08_22_09_19_14,-2.0622,-1.7345
31,2022_08_22_09_19_15,-3.3126,-1.9423
32,2022_08_22_09_19_17,-1.9426,-0.5726
33,2022_08_22_09_19_19,-2.3402,-0.2383
34,2022_08_22_09_19_21,-2.7639,-0.2704
35,2022_08_22_09_19_22,-2.2192,-0.6416
36,2022_08_22_09_19_24,-3.8528,-0.9771
37,2022_08_22_09_19_26,-3.4444,0.1361
38,2022_08_22_09_19_27,-2.7136,0.5846
39,2022_08_22_09_19_29,-4.3536,0.4475
40,2022_08_22_09_19_31,-2.1468,-0.3142
41,2022_08_22_09_19_32,-1.5269,0.7021
42,2022_08_22_09_19_34,-1.7834,0.9051
43,2022_08_22_09_19_36,-2.7351,0.8870
44,2022_08_22_09_19_37,-4.3433,-0.1375
45,2022_08_22_09_19_39,-4.0612,-0.5807
46,2022_08_22_09_19_40,-3.4424,-0.0685
47,2022_08_22_09_19_42,-3.5572,-0.1518
48,2022_08_22_09_19_44,-4.1140,-0.2959
49,2022_08_22_09_19_45,-4.8073,0.4034
50,2022_08_22_09_19_47,-4.0224,0.7630
51,2022_08_22_09_19_49,-4.4856,-0.4480
52,2022_08_22_09_19_50,-4.5429,0.4382
