epoch,time,generator_loss,discriminator_loss
1,2022_08_15_11_07_44, 0.0945,-0.0045
2,2022_08_15_11_10_35, 0.1048,-0.0127
3,2022_08_15_11_13_26, 0.0936,-0.0026
4,2022_08_15_11_16_09, 0.0887,-0.0054
5,2022_08_15_11_17_52, 0.0792,-0.0366
6,2022_08_15_11_20_38, 0.0825,-0.0640
7,2022_08_15_11_23_27, 0.0789,-0.0934
8,2022_08_15_11_26_16, 0.0643,-0.1147
9,2022_08_15_11_29_02, 0.0463,-0.1496
10,2022_08_15_11_31_49, 0.0514,-0.1735
11,2022_08_15_11_34_34, 0.0479,-0.2082
12,2022_08_15_11_37_17, 0.0172,-0.2290
13,2022_08_15_11_40_06,-0.0136,-0.2369
14,2022_08_15_11_42_57,-0.0528,-0.2636
15,2022_08_15_11_45_50,-0.0329,-0.3076
16,2022_08_15_11_48_43,-0.0588,-0.3282
17,2022_08_15_11_51_29,-0.1364,-0.4274
18,2022_08_15_11_54_17,-0.2004,-0.4052
19,2022_08_15_11_57_01,-0.2286,-0.3406
20,2022_08_15_11_59_52,-0.3260,-0.4578
21,2022_08_15_12_02_41,-0.4318,-0.5004
22,2022_08_15_12_05_28,-0.5240,-0.5148
23,2022_08_15_12_08_17,-0.6147,-0.4698
24,2022_08_15_12_11_02,-0.7164,-0.3898
25,2022_08_15_12_13_53,-0.7554,-0.3924
26,2022_08_15_12_16_35,-0.9523,-0.4533
27,2022_08_15_12_19_35,-1.0204,-0.4188
28,2022_08_15_12_22_52,-1.1158,-0.3218
29,2022_08_15_12_26_09,-1.2298,-0.2460
30,2022_08_15_12_29_12,-1.4230,-0.1391
31,2022_08_15_12_32_21,-1.6103,-0.1447
32,2022_08_15_12_35_33,-1.6265,-0.0474
33,2022_08_15_12_38_25,-1.6467,-0.1302
34,2022_08_15_12_41_11,-1.7714,-0.0844
35,2022_08_15_12_43_54,-1.8540,-0.1867
36,2022_08_15_12_46_40,-2.0262, 0.2185
37,2022_08_15_12_49_29,-2.0748, 0.1128
38,2022_08_15_12_52_08,-2.2956,-0.0347
39,2022_08_15_12_54_55,-2.1489, 0.2300
40,2022_08_15_12_57_38,-2.2839, 0.1702
41,2022_08_15_13_00_21,-2.4575, 0.0697
42,2022_08_15_13_03_04,-2.2433, 0.4104
43,2022_08_15_13_05_47,-2.4508, 0.4793
44,2022_08_15_13_08_29,-2.1606, 0.5169
45,2022_08_15_13_11_09,-2.2158, 0.4030
46,2022_08_15_13_13_52,-2.2743, 0.2829
47,2022_08_15_13_16_35,-2.2019, 0.5975
48,2022_08_15_13_19_16,-2.3497, 0.2134
49,2022_08_15_13_21_55,-2.4709, 0.2580
50,2022_08_15_13_24_38,-2.3771, 0.3942
51,2022_08_15_13_27_25,-2.3312, 0.3409
52,2022_08_15_13_30_12,-2.2290, 0.3476
53,2022_08_15_13_32_58,-2.2295, 0.5386
54,2022_08_15_13_35_44,-2.1049, 0.3002
55,2022_08_15_13_38_27,-2.2733, 0.4140
56,2022_08_15_13_41_19,-2.1614, 0.2698
57,2022_08_15_13_44_13,-2.0695, 0.4246
58,2022_08_15_13_47_06,-2.1323, 0.2828
59,2022_08_15_13_49_50,-2.2953, 0.2273
60,2022_08_15_13_52_34,-2.0977, 0.5390
61,2022_08_15_13_55_19,-2.1838, 0.4545
62,2022_08_15_13_58_10,-2.0733, 0.1132
63,2022_08_15_14_01_00,-2.1399, 0.1141
64,2022_08_15_14_03_48,-2.0825, 0.2607
65,2022_08_15_14_06_34,-2.2711, 0.1658
66,2022_08_15_14_09_12,-2.1516, 0.1984
67,2022_08_15_14_12_01,-2.1509, 0.6012
68,2022_08_15_14_14_54,-1.8920, 0.2564
