epoch,time,generator_loss,discriminator_loss
1,2022_08_23_13_27_29,1.6417,-0.1206
2,2022_08_23_13_27_33,2.2767,-0.4362
3,2022_08_23_13_27_37,2.8610,-1.0384
4,2022_08_23_13_27_41,3.7208,-2.0457
5,2022_08_23_13_27_44,5.2403,-3.4317
6,2022_08_23_13_27_47,6.7565,-5.0269
7,2022_08_23_13_27_52,10.5087,-7.1120
8,2022_08_23_13_27_55,5.6844,-7.3098
9,2022_08_23_13_27_58,6.4270,-7.0253
10,2022_08_23_13_28_01,6.2321,-6.6651
11,2022_08_23_13_28_05,5.2982,-6.1128
12,2022_08_23_13_28_09,5.8938,-5.9760
13,2022_08_23_13_28_10,4.7530,-4.9484
14,2022_08_23_13_28_14,4.9341,-5.0311
15,2022_08_23_13_28_16,4.5383,-4.4940
16,2022_08_23_13_28_18,3.4088,-3.6743
17,2022_08_23_13_28_21,2.7837,-3.9070
18,2022_08_23_13_28_25,3.0205,-4.0718
19,2022_08_23_13_28_27,2.7711,-2.5640
20,2022_08_23_13_28_30,2.7503,-2.9205
21,2022_08_23_13_28_34,2.3658,-2.1858
22,2022_08_23_13_28_38,2.2259,-1.8836
23,2022_08_23_13_28_41,1.8068,-1.8621
24,2022_08_23_13_28_44,2.8182,-2.3219
25,2022_08_23_13_28_46,1.6018,-1.1165
26,2022_08_23_13_28_48,1.7457,-1.3302
27,2022_08_23_13_28_50,2.1432,-1.3755
28,2022_08_23_13_28_52,1.6136,-1.3469
29,2022_08_23_13_28_54,2.2992,-1.3786
30,2022_08_23_13_28_56,2.0902,-0.9238
31,2022_08_23_13_28_58,2.0350,-1.1947
32,2022_08_23_13_29_00,1.4149,-0.6922
33,2022_08_23_13_29_02,1.5961,-0.8192
34,2022_08_23_13_29_03,2.0914,-0.9605
35,2022_08_23_13_29_05,1.5586,-1.1574
36,2022_08_23_13_29_07,0.8295,-0.4552
37,2022_08_23_13_29_09,1.9009,0.1740
38,2022_08_23_13_29_11,1.8355,0.0659
39,2022_08_23_13_29_12,0.7113,-0.2820
40,2022_08_23_13_29_14,0.8592,-0.3941
41,2022_08_23_13_29_16,0.0713,0.2146
42,2022_08_23_13_29_18,-0.4963,0.0386
43,2022_08_23_13_29_20,0.6068,-0.5958
44,2022_08_23_13_29_21,0.5594,0.3628
45,2022_08_23_13_29_23,-0.0106,-0.8985
46,2022_08_23_13_29_25,-0.3736,-1.0251
47,2022_08_23_13_29_26,-1.0121,0.9498
48,2022_08_23_13_29_28,-0.1949,-0.1508
49,2022_08_23_13_29_30,-0.2085,0.0381
50,2022_08_23_13_29_32,0.5288,-1.1851
51,2022_08_23_13_29_33,0.3413,0.3895
52,2022_08_23_13_29_35,0.0949,0.3426
53,2022_08_23_13_29_37,0.4667,-0.6532
54,2022_08_23_13_29_39,-0.4486,-0.1963
55,2022_08_23_13_29_40,0.9533,-0.3844
56,2022_08_23_13_29_42,0.4934,-0.1320
57,2022_08_23_13_29_44,0.0531,0.9046
58,2022_08_23_13_29_46,0.3057,0.9673
59,2022_08_23_13_29_48,0.1693,0.4593
60,2022_08_23_13_29_49,0.6010,0.3233
61,2022_08_23_13_29_51,1.5608,0.2692
62,2022_08_23_13_29_53,2.0907,-0.0895
63,2022_08_23_13_29_55,2.8925,0.3651
64,2022_08_23_13_29_56,2.5975,-0.4092
65,2022_08_23_13_29_58,2.7806,0.4172
66,2022_08_23_13_30_00,3.5682,0.9184
67,2022_08_23_13_30_01,3.5723,-0.2700
68,2022_08_23_13_30_03,4.2258,0.2045
69,2022_08_23_13_30_05,4.3076,0.3942
70,2022_08_23_13_30_07,4.0759,-1.1011
71,2022_08_23_13_30_08,4.2185,-0.6104
72,2022_08_23_13_30_10,4.7118,0.5013
73,2022_08_23_13_30_12,5.1305,0.5004
74,2022_08_23_13_30_13,6.0701,-0.5023
75,2022_08_23_13_30_15,5.2592,0.2786
76,2022_08_23_13_30_17,5.8617,-0.5129
77,2022_08_23_13_30_19,5.4181,0.4637
78,2022_08_23_13_30_20,7.2981,-0.3233
79,2022_08_23_13_30_22,6.2143,0.6030
80,2022_08_23_13_30_24,6.6385,-0.5869
81,2022_08_23_13_30_25,5.2850,0.6979
82,2022_08_23_13_30_27,5.5698,-1.1370
83,2022_08_23_13_30_29,6.1120,0.5583
84,2022_08_23_13_30_30,4.2800,0.4319
85,2022_08_23_13_30_32,5.5632,-0.0990
86,2022_08_23_13_30_34,6.4449,0.7352
87,2022_08_23_13_30_35,4.6980,-0.4817
88,2022_08_23_13_30_37,5.9979,0.1792
89,2022_08_23_13_30_39,5.3465,0.8749
90,2022_08_23_13_30_41,6.2384,-0.2645
91,2022_08_23_13_30_42,4.2407,0.0504
92,2022_08_23_13_30_44,3.3824,0.6908
93,2022_08_23_13_30_46,4.3085,0.7602
94,2022_08_23_13_30_48,4.1802,0.4061
95,2022_08_23_13_30_49,3.9652,-0.6479
96,2022_08_23_13_30_51,4.2627,-1.0127
97,2022_08_23_13_30_53,3.3210,-0.5512
98,2022_08_23_13_30_55,2.7467,-1.5474
99,2022_08_23_13_30_57,2.9479,-0.3294
100,2022_08_23_13_30_58,3.6991,0.8067
101,2022_08_23_13_31_01,3.6730,0.0383
102,2022_08_23_13_31_02,4.5829,1.0611
103,2022_08_23_13_31_04,4.7671,-0.0983
104,2022_08_23_13_31_06,4.2606,1.2458
105,2022_08_23_13_31_07,4.3586,1.2878
106,2022_08_23_13_31_09,6.0916,-1.3182
107,2022_08_23_13_31_11,4.8443,-0.4408
108,2022_08_23_13_31_13,5.3242,0.9568
109,2022_08_23_13_31_14,5.2985,-0.6246
110,2022_08_23_13_31_16,4.9051,0.8859
111,2022_08_23_13_31_18,4.0127,-0.0957
112,2022_08_23_13_31_20,2.5685,0.7227
113,2022_08_23_13_31_21,3.2316,-0.0862
114,2022_08_23_13_31_24,4.5860,0.0608
115,2022_08_23_13_31_25,4.1192,-0.6491
116,2022_08_23_13_31_27,4.2463,1.6380
117,2022_08_23_13_31_29,4.5919,-0.3078
118,2022_08_23_13_31_31,3.8261,-2.2743
119,2022_08_23_13_31_32,5.5763,0.5282
120,2022_08_23_13_31_34,3.8693,0.4455
121,2022_08_23_13_31_36,3.4924,0.0190
122,2022_08_23_13_31_38,4.3149,-0.5979
123,2022_08_23_13_31_40,3.9977,-0.2558
124,2022_08_23_13_31_41,4.5728,-0.0274
125,2022_08_23_13_31_43,4.9304,1.4776
126,2022_08_23_13_31_45,4.0206,1.4512
127,2022_08_23_13_31_46,5.7594,0.2455
128,2022_08_23_13_31_48,4.3703,0.1814
129,2022_08_23_13_31_50,3.9427,0.0540
130,2022_08_23_13_31_52,5.2689,-0.9651
131,2022_08_23_13_31_53,5.5053,-1.3369
132,2022_08_23_13_31_55,5.9929,0.1341
133,2022_08_23_13_31_57,6.8865,-1.2192
134,2022_08_23_13_31_58,6.7866,-0.1377
135,2022_08_23_13_32_00,5.3316,0.5386
136,2022_08_23_13_32_02,6.3659,0.5214
137,2022_08_23_13_32_04,7.8249,-1.6612
138,2022_08_23_13_32_06,6.9770,0.0611
139,2022_08_23_13_32_08,6.7825,1.2397
140,2022_08_23_13_32_09,6.1014,-0.7241
141,2022_08_23_13_32_11,5.9988,-0.8554
142,2022_08_23_13_32_13,4.5012,-0.3991
143,2022_08_23_13_32_15,5.6385,-0.0777
144,2022_08_23_13_32_16,5.2464,0.0406
145,2022_08_23_13_32_18,4.7541,0.2895
146,2022_08_23_13_32_20,6.1646,-0.6363
147,2022_08_23_13_32_22,6.3353,-0.7971
148,2022_08_23_13_32_23,6.4639,-0.4855
149,2022_08_23_13_32_26,6.3069,-0.3079
150,2022_08_23_13_32_27,5.5402,-0.2452
151,2022_08_23_13_32_29,5.1210,-0.2530
152,2022_08_23_13_32_31,5.4093,0.2685
153,2022_08_23_13_32_33,5.9541,-0.1895
154,2022_08_23_13_32_34,5.7820,-0.2242
155,2022_08_23_13_32_36,4.6801,-0.6974
156,2022_08_23_13_32_38,4.5277,-0.2543
157,2022_08_23_13_32_40,5.7984,0.7733
158,2022_08_23_13_32_41,4.7958,0.5490
159,2022_08_23_13_32_43,5.1920,-0.3193
160,2022_08_23_13_32_45,3.0989,0.7403
161,2022_08_23_13_32_46,4.4991,-0.2181
162,2022_08_23_13_32_48,3.8034,-0.5815
163,2022_08_23_13_32_50,2.2405,-0.3316
164,2022_08_23_13_32_52,4.3503,-0.2817
165,2022_08_23_13_32_54,2.9209,1.5663
166,2022_08_23_13_32_56,2.4363,-0.2550
167,2022_08_23_13_32_58,2.5780,-1.0222
168,2022_08_23_13_32_59,1.5297,1.1226
169,2022_08_23_13_33_01,1.4895,0.2194
170,2022_08_23_13_33_03,0.6822,0.1946
171,2022_08_23_13_33_05,0.4446,-0.5008
172,2022_08_23_13_33_06,1.4733,0.2383
173,2022_08_23_13_33_08,2.2852,-0.8720
174,2022_08_23_13_33_10,2.5808,0.8298
175,2022_08_23_13_33_12,1.2191,-0.0257
176,2022_08_23_13_33_13,1.3154,0.5223
177,2022_08_23_13_33_15,0.7322,-1.2406
178,2022_08_23_13_33_17,0.3101,2.0275
179,2022_08_23_13_33_18,0.2572,0.9421
180,2022_08_23_13_33_20,0.6180,-0.9425
181,2022_08_23_13_33_22,2.6339,1.1343
182,2022_08_23_13_33_24,0.6885,-0.4715
183,2022_08_23_13_33_25,1.8275,-1.1428
184,2022_08_23_13_33_28,0.9684,0.0090
185,2022_08_23_13_33_30,-0.4956,-0.8596
186,2022_08_23_13_33_31,0.0626,0.0687
187,2022_08_23_13_33_33,1.1549,-0.6113
188,2022_08_23_13_33_35,-0.0154,-1.8840
189,2022_08_23_13_33_37,0.3889,1.6511
190,2022_08_23_13_33_39,0.3211,-0.4790
191,2022_08_23_13_33_41,0.5868,1.0531
192,2022_08_23_13_33_42,1.3015,1.3763
193,2022_08_23_13_33_44,0.9116,-0.3610
194,2022_08_23_13_33_46,1.5988,2.6359
195,2022_08_23_13_33_48,1.9977,-0.8675
196,2022_08_23_13_33_49,1.8452,-0.2926
197,2022_08_23_13_33_51,1.2040,-0.7850
198,2022_08_23_13_33_53,2.4372,0.7127
199,2022_08_23_13_33_55,2.9006,-0.1908
200,2022_08_23_13_33_56,0.7219,-0.8294
201,2022_08_23_13_33_58,0.6537,-1.4001
202,2022_08_23_13_34_00,0.6114,-0.0745
