epoch,time,generator_loss,discriminator_loss
1,2022_08_26_15_53_56,5.4681,-0.1599
2,2022_08_26_15_53_58,8.2562,-0.6202
3,2022_08_26_15_54_00,6.0768,-1.2478
4,2022_08_26_15_54_02,4.2874,-2.5680
5,2022_08_26_15_54_03,23.7710,-4.6461
6,2022_08_26_15_54_05,-29.2615,-7.2882
7,2022_08_26_15_54_07,-6.3575,-10.9013
8,2022_08_26_15_54_09,-3.3391,-15.4769
9,2022_08_26_15_54_11,-9.1530,-20.1933
10,2022_08_26_15_54_12,-5.5418,-21.2371
11,2022_08_26_15_54_14,15.8943,-24.0600
12,2022_08_26_15_54_16,3.7571,-26.4403
13,2022_08_26_15_54_17,34.5870,-26.2080
14,2022_08_26_15_54_19,-8.2859,-26.0483
15,2022_08_26_15_54_21,-28.1439,-26.2202
16,2022_08_26_15_54_23,-9.3490,-24.4544
17,2022_08_26_15_54_25,-5.7215,-24.3812
18,2022_08_26_15_54_27,17.6858,-29.1077
19,2022_08_26_15_54_29,9.0329,-26.5276
20,2022_08_26_15_54_31,-84.6253,-26.7274
21,2022_08_26_15_54_33,-23.0255,-26.0489
22,2022_08_26_15_54_34,-19.8927,-26.7505
23,2022_08_26_15_54_36,8.9391,-29.4177
24,2022_08_26_15_54_38,9.8468,-26.6849
25,2022_08_26_15_54_40,97.9903,-28.6745
26,2022_08_26_15_54_42,-267.9420,-27.5724
27,2022_08_26_15_54_43,1192.8777,-27.9370
28,2022_08_26_15_54_45,-11.8978,-28.0686
29,2022_08_26_15_54_47,-19.4166,-24.4000
30,2022_08_26_15_54_49,-18.9625,-24.3291
31,2022_08_26_15_54_50,0.1376,-24.9622
32,2022_08_26_15_54_52,-62.0552,-26.7187
33,2022_08_26_15_54_54,45.1391,-26.8387
34,2022_08_26_15_54_56,0.5050,-26.2328
35,2022_08_26_15_54_58,-44.3146,-25.5780
36,2022_08_26_15_54_59,-15.5206,-26.7082
37,2022_08_26_15_55_01,12.6113,-24.9447
38,2022_08_26_15_55_03,46.3019,-24.0803
39,2022_08_26_15_55_04,-5.7746,-28.7237
40,2022_08_26_15_55_06,-11.6737,-25.7408
41,2022_08_26_15_55_08,5.4334,-23.2788
42,2022_08_26_15_55_10,17.2283,-28.9120
43,2022_08_26_15_55_11,144.1763,-26.6523
44,2022_08_26_15_55_13,36.6086,-25.5456
45,2022_08_26_15_55_15,18.4282,-28.4351
46,2022_08_26_15_55_17,-38.5998,-30.0198
47,2022_08_26_15_55_19,-27.5754,-29.5281
48,2022_08_26_15_55_20,14.0128,-27.3210
49,2022_08_26_15_55_22,-19.2949,-27.3893
50,2022_08_26_15_55_24,-37.3913,-26.9477
51,2022_08_26_15_55_26,-72.7901,-27.1811
52,2022_08_26_15_55_27,-23.2213,-26.2920
53,2022_08_26_15_55_29,-98.3189,-27.5058
54,2022_08_26_15_55_31,-3.8411,-26.8026
55,2022_08_26_15_55_33,-19.6706,-29.1666
56,2022_08_26_15_55_35,-47.9264,-27.7958
57,2022_08_26_15_55_36,-42.4914,-27.1170
58,2022_08_26_15_55_38,22.3697,-26.5435
59,2022_08_26_15_55_40,487.8170,-27.0005
60,2022_08_26_15_55_41,-29.0989,-25.2061
61,2022_08_26_15_55_43,-70.5032,-24.5747
62,2022_08_26_15_55_45,-0.2942,-24.6450
63,2022_08_26_15_55_47,84.3486,-27.3397
64,2022_08_26_15_55_49,-62.8105,-25.3141
65,2022_08_26_15_55_50,-11.9123,-27.6104
66,2022_08_26_15_55_52,-11.0879,-25.6711
67,2022_08_26_15_55_54,-3.5096,-25.7104
68,2022_08_26_15_55_56,-114.0702,-26.9108
69,2022_08_26_15_55_58,-15.8022,-27.7884
70,2022_08_26_15_55_59,-96.7201,-28.5756
71,2022_08_26_15_56_01,-32.6858,-30.2535
72,2022_08_26_15_56_03,-20.3659,-25.5222
73,2022_08_26_15_56_05,-1.5839,-28.8276
74,2022_08_26_15_56_07,-4.1407,-28.6188
75,2022_08_26_15_56_08,11.0613,-29.9590
76,2022_08_26_15_56_10,7.5216,-30.8393
77,2022_08_26_15_56_12,-121.8273,-30.4974
78,2022_08_26_15_56_14,61.8429,-27.4247
79,2022_08_26_15_56_15,-25.7519,-27.1094
80,2022_08_26_15_56_18,-5.3295,-28.8923
81,2022_08_26_15_56_20,-30.4673,-28.7719
82,2022_08_26_15_56_22,-220.2944,-29.5514
83,2022_08_26_15_56_23,-119.5257,-27.1479
84,2022_08_26_15_56_25,-127.6100,-28.6251
85,2022_08_26_15_56_27,-58.3039,-26.1546
86,2022_08_26_15_56_29,-8037.5669,-27.1438
87,2022_08_26_15_56_31,-199.5390,-28.9616
88,2022_08_26_15_56_32,-39.5765,-31.7495
89,2022_08_26_15_56_34,-1353.9598,-27.7199
90,2022_08_26_15_56_36,-60.9265,-29.6491
91,2022_08_26_15_56_38,-5.3539,-31.0907
92,2022_08_26_15_56_39,18.1504,-27.7348
93,2022_08_26_15_56_41,-53.5219,-29.7604
94,2022_08_26_15_56_43,-5.1279,-28.1700
95,2022_08_26_15_56_45,-234.4779,-31.0135
96,2022_08_26_15_56_47,-4.1850,-28.0888
97,2022_08_26_15_56_49,3.8794,-29.0671
98,2022_08_26_15_56_50,13.8262,-29.9074
99,2022_08_26_15_56_52,35.8407,-28.2031
100,2022_08_26_15_56_54,-91.0075,-29.3231
101,2022_08_26_15_56_56,-942.2872,-28.2973
102,2022_08_26_15_56_57,-171.9801,-29.2197
103,2022_08_26_15_56_59,1.0430,-28.6714
104,2022_08_26_15_57_01,-52.4608,-28.4625
