epoch,time,generator_loss,discriminator_loss
1,2022_08_08_08_13_38,0.2072,0.0090
2,2022_08_08_08_13_39,0.8376,0.0015
3,2022_08_08_08_13_40,0.5617,-0.0382
4,2022_08_08_08_13_40,0.7389,-0.0389
5,2022_08_08_08_13_40,1.6738,-0.0710
6,2022_08_08_08_13_41,0.0407,-0.0593
7,2022_08_08_08_13_41,-0.1313,-0.0909
8,2022_08_08_08_13_42,0.6351,-0.0596
9,2022_08_08_08_13_42,0.0068,-0.0937
10,2022_08_08_08_13_43,0.3067,-0.1786
11,2022_08_08_08_13_43,0.0224,-0.1545
12,2022_08_08_08_13_44,0.4400,-0.1758
13,2022_08_08_08_13_44,0.3497,-0.2325
14,2022_08_08_08_13_45,0.3211,-0.2039
15,2022_08_08_08_13_45,0.2939,-0.2637
16,2022_08_08_08_13_45,0.2894,-0.2026
17,2022_08_08_08_13_46,0.1679,-0.2980
18,2022_08_08_08_13_46,0.1344,-0.1908
19,2022_08_08_08_13_47,-0.0100,-0.2592
20,2022_08_08_08_13_47,-0.0136,-0.2433
21,2022_08_08_08_13_48,-0.6369,-0.1912
22,2022_08_08_08_13_48,-0.3741,-0.2146
23,2022_08_08_08_13_49,-0.4830,-0.2059
24,2022_08_08_08_13_49,-0.5394,-0.1405
25,2022_08_08_08_13_50,-0.6202,-0.1491
26,2022_08_08_08_13_50,-0.7078,-0.1742
27,2022_08_08_08_13_51,-0.8567,-0.0797
28,2022_08_08_08_13_51,-1.0030,0.1838
29,2022_08_08_08_13_52,-1.2165,0.1531
30,2022_08_08_08_13_52,-1.3902,0.2529
31,2022_08_08_08_13_52,-1.3231,0.1006
32,2022_08_08_08_13_53,-1.3906,0.0580
33,2022_08_08_08_13_53,-1.4198,0.0542
34,2022_08_08_08_13_54,-1.9506,-0.2220
35,2022_08_08_08_13_54,-2.1710,0.0657
36,2022_08_08_08_13_55,-2.2411,0.4967
37,2022_08_08_08_13_55,-1.9363,0.6699
38,2022_08_08_08_13_56,-2.1540,0.2591
39,2022_08_08_08_13_56,-2.1114,0.1756
40,2022_08_08_08_13_57,-2.3660,0.0941
41,2022_08_08_08_13_57,-2.5247,0.4856
42,2022_08_08_08_13_58,-2.2835,0.1540
43,2022_08_08_08_13_58,-2.5412,0.2853
44,2022_08_08_08_13_59,-2.4365,0.5106
45,2022_08_08_08_13_59,-5.0137,0.5276
46,2022_08_08_08_14_00,-2.7256,0.2332
47,2022_08_08_08_14_00,-2.7675,0.1417
48,2022_08_08_08_14_01,-2.7924,0.5231
49,2022_08_08_08_14_01,-2.8581,0.3763
50,2022_08_08_08_14_02,-3.2137,0.6346
51,2022_08_08_08_14_02,-3.0349,0.2469
52,2022_08_08_08_14_03,-3.1689,0.2984
53,2022_08_08_08_14_03,-2.9155,0.6631
54,2022_08_08_08_14_04,-2.9640,0.4727
55,2022_08_08_08_14_04,-2.7532,0.4365
56,2022_08_08_08_14_05,-2.6700,0.5227
57,2022_08_08_08_14_05,-2.9401,0.2185
58,2022_08_08_08_14_06,-2.6657,-0.0880
59,2022_08_08_08_14_06,-2.6216,0.3810
60,2022_08_08_08_14_07,-2.5200,0.3111
61,2022_08_08_08_14_07,-2.8147,0.2476
62,2022_08_08_08_14_08,-2.8221,0.0279
63,2022_08_08_08_14_08,-2.4424,0.4680
64,2022_08_08_08_14_09,-2.6370,0.4792
65,2022_08_08_08_14_09,-2.5600,0.4042
66,2022_08_08_08_14_10,-2.2942,0.2157
67,2022_08_08_08_14_10,-2.4010,-0.0828
68,2022_08_08_08_14_11,-2.5595,-0.1371
69,2022_08_08_08_14_11,-2.5784,0.1183
70,2022_08_08_08_14_12,-2.9579,-0.0713
71,2022_08_08_08_14_12,-2.2515,0.0532
72,2022_08_08_08_14_13,-2.0602,0.3664
73,2022_08_08_08_14_13,-1.6616,-0.0426
74,2022_08_08_08_14_14,-1.6413,0.1731
75,2022_08_08_08_14_14,-1.9772,-0.0196
76,2022_08_08_08_14_15,-1.6535,-0.1483
77,2022_08_08_08_14_15,-1.8563,-0.0063
78,2022_08_08_08_14_15,-2.8284,0.4921
79,2022_08_08_08_14_16,-2.4642,-0.2662
