epoch,time,generator_loss,discriminator_loss
1,2022_08_26_10_14_23,-4.0801,-0.0637
2,2022_08_26_10_14_25,32.1258,-0.2753
3,2022_08_26_10_14_27,15.8112,-0.8049
4,2022_08_26_10_14_29,20.3731,-1.7639
5,2022_08_26_10_14_31,-4.2789,-3.3205
6,2022_08_26_10_14_33,6.9680,-4.8504
7,2022_08_26_10_14_35,9.7182,-6.7073
8,2022_08_26_10_14_36,5.7988,-7.5505
9,2022_08_26_10_14_39,19.8999,-8.3161
10,2022_08_26_10_14_41,16.5812,-7.9544
11,2022_08_26_10_14_43,14.6751,-7.2784
12,2022_08_26_10_14_45,-5.6920,-5.9055
13,2022_08_26_10_14_46,15.1021,-6.0710
14,2022_08_26_10_14_48,9.6043,-6.0183
15,2022_08_26_10_14_50,16.1894,-4.0077
16,2022_08_26_10_14_52,16.2119,-4.8473
17,2022_08_26_10_14_54,22.5710,-3.9044
18,2022_08_26_10_14_56,13.9902,-3.4070
19,2022_08_26_10_14_58,102.7680,-3.6615
20,2022_08_26_10_15_00,19.3717,-2.7821
21,2022_08_26_10_15_02,10.6960,-2.6603
22,2022_08_26_10_15_03,-1.3405,-2.8707
23,2022_08_26_10_15_05,-1.0171,-1.9750
24,2022_08_26_10_15_07,0.2874,-1.3386
25,2022_08_26_10_15_09,11.0381,-2.5128
26,2022_08_26_10_15_11,11.0942,-1.0872
27,2022_08_26_10_15_13,-7.9184,-1.1039
28,2022_08_26_10_15_15,-6.4933,-1.4895
29,2022_08_26_10_15_17,8.4420,-1.2801
30,2022_08_26_10_15_19,14.0830,-1.7379
31,2022_08_26_10_15_21,-3.8952,-0.1425
32,2022_08_26_10_15_23,1.5123,-1.0960
33,2022_08_26_10_15_25,-15.1460,0.2561
34,2022_08_26_10_15_26,-1.0738,-2.0957
35,2022_08_26_10_15_28,2.4935,0.0963
36,2022_08_26_10_15_30,-0.6167,-0.5196
37,2022_08_26_10_15_32,0.5978,-0.2054
38,2022_08_26_10_15_34,-21.1827,-0.3073
39,2022_08_26_10_15_36,4.8092,-0.8743
40,2022_08_26_10_15_38,1.8205,-0.4134
41,2022_08_26_10_15_40,34.5372,-0.8511
