epoch,time,generator_loss,discriminator_loss
1,2022_08_12_15_14_35,4.1384,-1.1693
2,2022_08_12_15_14_53,7.9253,-5.3815
3,2022_08_12_15_15_14,3.7282,-12.6761
4,2022_08_12_15_15_32,3.8544,-15.5132
5,2022_08_12_15_15_50,0.9489,-11.7283
6,2022_08_12_15_16_08,0.7322,-9.7598
7,2022_08_12_15_16_26,-3.9876,-8.7198
8,2022_08_12_15_16_43,-4.2435,-6.0588
9,2022_08_12_15_17_03,-7.1607,-3.9447
10,2022_08_12_15_17_20,-1.8681,-2.1952
11,2022_08_12_15_17_42,-6.1334,-1.4133
12,2022_08_12_15_18_00,-6.4011,-3.1792
13,2022_08_12_15_18_21,-8.6145,-0.8004
14,2022_08_12_15_18_39,-7.6232,-0.9913
15,2022_08_12_15_18_57,-8.3113,0.7841
16,2022_08_12_15_19_14,-10.0187,0.8696
17,2022_08_12_15_19_33,-4.2142,1.4771
18,2022_08_12_15_19_50,-5.7611,-0.7824
19,2022_08_12_15_20_09,-6.9385,0.0825
20,2022_08_12_15_20_26,-7.5875,-0.8035
21,2022_08_12_15_20_44,-4.5820,1.5276
22,2022_08_12_15_21_02,-4.8204,-1.0483
23,2022_08_12_15_21_19,-7.8914,-0.2164
24,2022_08_12_15_21_37,-2.9476,1.9754
25,2022_08_12_15_21_54,-2.4009,1.2029
26,2022_08_12_15_22_12,-5.8821,0.5151
27,2022_08_12_15_22_33,-1.8588,0.9078
28,2022_08_12_15_22_51,-2.4512,-1.6751
29,2022_08_12_15_23_10,-4.8218,0.7963
30,2022_08_12_15_23_28,-3.9501,1.2256
31,2022_08_12_15_24_05,-4.3910,-0.5269
32,2022_08_12_15_24_22,-1.7578,0.4349
33,2022_08_12_15_24_40,-1.8366,1.5162
34,2022_08_12_15_24_59,-12.1727,0.8069
35,2022_08_12_15_25_16,-1.1292,-0.6239
36,2022_08_12_15_25_34,-0.1253,0.8835
37,2022_08_12_15_25_52,-1.8080,0.1478
38,2022_08_12_15_26_25,-0.2227,0.9662
39,2022_08_12_15_26_42,0.5434,-1.3806
40,2022_08_12_15_27_01,-1.0869,-1.0689
41,2022_08_12_15_27_19,-1.9350,0.2163
42,2022_08_12_15_27_37,-397.2025,-0.4048
43,2022_08_12_15_27_55,-1.6640,-0.4508
44,2022_08_12_15_28_13,-4.2331,-2.0355
45,2022_08_12_15_28_32,-4.7066,-0.4871
46,2022_08_12_15_28_49,-7.4512,0.7679
47,2022_08_12_15_29_07,-2.0386,-0.1169
48,2022_08_12_15_29_24,-8.8108,-0.5944
49,2022_08_12_15_29_42,-6.2417,0.0730
50,2022_08_12_15_30_00,-4.1403,2.7498
51,2022_08_12_15_30_17,-3.6345,-2.2152
52,2022_08_12_15_30_35,-2.8052,0.2136
53,2022_08_12_15_30_57,-3.5844,0.9726
54,2022_08_12_15_31_16,-2.2200,0.4787
55,2022_08_12_15_31_33,-2.3737,1.3746
56,2022_08_12_15_31_50,-9.5210,-1.0490
57,2022_08_12_15_32_06,-7.3352,-0.9103
58,2022_08_12_15_32_21,-3.9357,0.7358
59,2022_08_12_15_32_38,-2.8213,2.1372
60,2022_08_12_15_32_54,-7.2704,-1.1437
61,2022_08_12_15_33_10,-6.9977,1.0275
62,2022_08_12_15_33_27,-6.9813,0.7672
63,2022_08_12_15_33_43,-5.2849,-2.7672
64,2022_08_12_15_33_59,-9.2640,-0.8402
65,2022_08_12_15_34_15,-1.0516,-0.8226
66,2022_08_12_15_34_30,-2.0203,-0.0808
67,2022_08_12_15_34_46,-1.7106,-1.3327
68,2022_08_12_15_35_02,-4.5834,0.0101
69,2022_08_12_15_35_18,0.2236,-0.4701
70,2022_08_12_15_35_42,-1.6163,-1.9523
71,2022_08_12_15_35_58,-4.0890,-3.7248
72,2022_08_12_15_36_16,-2.5910,2.6862
73,2022_08_12_15_36_32,-1.2615,2.2313
74,2022_08_12_15_36_48,-0.6215,-0.1373
75,2022_08_12_15_37_04,0.3051,3.1562
76,2022_08_12_15_37_20,-3.1878,4.5452
77,2022_08_12_15_37_36,-3.5861,-1.7161
78,2022_08_12_15_37_53,-2.9254,-1.4572
79,2022_08_12_15_38_08,-10.1372,1.0032
80,2022_08_12_15_38_25,60.3212,1.3902
81,2022_08_12_15_38_41,-6.5207,-1.0861
82,2022_08_12_15_39_01,-7.8164,2.2572
83,2022_08_12_15_39_18,-6.3510,-1.0488
84,2022_08_12_15_39_35,-6.8804,0.4563
85,2022_08_12_15_39_52,-4.6995,0.0100
86,2022_08_12_15_40_09,-6.9084,-1.4832
87,2022_08_12_15_40_25,-4.6723,-0.8487
88,2022_08_12_15_40_41,-7.2119,-0.4198
89,2022_08_12_15_40_58,-1.9159,1.9451
90,2022_08_12_15_41_15,-4.2032,0.6489
91,2022_08_12_15_41_31,-8.2932,1.5767
92,2022_08_12_15_41_50,-6.0926,0.1792
